dt,xrf,sample,ni,fe,alu
2022-05-13,3,S2,0.65,51.26,6.89
2022-05-13,4,S1,0.64,48.6,9.02
2022-05-13,3,S1,0.64,48.35,10.71
2022-05-13,4,S2,0.66,52.25,6.95
2022-05-13,3,S12,1.38,13.98,1.28
2022-05-14,4,S2,0.65,52.3,6.84
2022-05-14,3,S12,1.38,13.96,1.29
2022-05-14,3,S2,0.65,51.28,6.82
2022-05-14,3,S11,0.99,8.3,1.55
2022-05-14,4,S1,0.64,48.94,9.11
2022-05-14,3,S1,0.63,48.3,10.8
2022-05-15,3,S1,0.63,48.49,10.62
2022-05-15,2,S1,0.64,48.41,9.99
2022-05-15,2,S2,0.65,51.21,6.5
2022-05-15,3,S2,0.65,51.3,6.83
2022-05-16,3,S12,1.39,13.89,1.43
2022-05-16,2,S2,0.64,51.06,6.4
2022-05-16,3,S1,0.63,48.54,10.69
2022-05-16,2,S1,0.64,48.05,9.79
2022-05-16,3,S2,0.64,51.19,6.84
2022-05-17,3,S12,1.39,13.92,1.36
2022-05-17,2,S2,0.65,51.21,6.49
2022-05-17,2,S1,0.64,48.31,9.94
2022-05-17,3,S2,0.64,51.36,6.91
2022-05-17,3,S1,0.63,48.49,10.68
2022-05-18,2,S2,0.66,51.32,6.49
2022-05-18,2,S1,0.64,48.51,10.1
2022-05-18,3,S1,0.63,48.7,10.67
2022-05-18,3,S2,0.64,51.5,6.93
2022-05-19,3,S2,0.64,51.18,6.8
2022-05-19,2,S1,0.64,48.33,10.01
2022-05-19,3,S12,1.35,13.81,1.35
2022-05-19,3,S1,0.63,48.37,10.69
2022-05-19,2,S2,0.66,51.25,6.51
2022-05-20,2,S1,0.64,48.22,10
2022-05-20,3,S1,0.63,48.33,10.68
2022-05-20,3,S12,1.36,13.87,1.36
2022-05-20,2,S2,0.65,51.12,6.45
2022-05-20,2,S11,1,8.21,1.16
2022-05-20,3,S2,0.64,51.27,6.97
2022-05-20,2,S12,1.38,13.56,1.12
2022-05-21,3,S1,0.63,48.31,10.8
2022-05-21,2,S1,0.64,48.6,10.02
2022-05-21,2,S12,1.38,13.6,1.13
2022-05-21,2,S11,1,8.24,1.18
2022-05-21,2,S2,0.66,51.46,6.53
2022-05-21,3,S2,0.64,51.13,7.03
2022-05-22,3,S1,0.63,48.4,10.64
2022-05-22,3,S2,0.64,51.23,6.93
2022-05-22,2,S2,0.65,51.23,6.51
2022-05-22,2,S1,0.64,48.29,9.85
2022-05-22,3,S12,1.39,13.93,1.37
2022-05-23,3,S12,1.4,14.01,1.4
2022-05-23,3,S1,0.63,48.25,10.49
2022-05-23,2,S1,0.64,48.12,9.84
2022-05-23,2,S2,0.65,51.01,6.44
2022-05-23,3,S2,0.64,51.09,6.83
2022-05-24,3,S2,0.64,51.05,7.05
2022-05-24,2,S1,0.64,48.25,9.85
2022-05-24,2,S2,0.66,51.01,6.48
2022-05-24,2,S12,1.38,13.78,1.14
2022-05-24,3,S1,0.63,48.24,10.72
2022-05-25,3,S2,0.64,51.16,6.91
2022-05-25,2,S11,1.01,8.3,1.15
2022-05-25,2,S12,1.37,13.64,1.14
2022-05-25,2,S1,0.64,48.34,9.69
2022-05-25,3,S1,0.63,48.28,10.49
2022-05-25,3,S12,1.39,13.95,1.35
2022-05-25,3,S11,1,8.31,1.55
2022-05-25,2,S2,0.66,51.3,6.49
2022-05-26,3,S2,0.64,51.02,6.91
2022-05-26,3,S1,0.62,48.13,10.43
2022-05-26,2,S11,1,8.19,1.14
2022-05-26,2,S2,0.66,51.4,6.51
2022-05-26,2,S12,1.37,13.54,1.14
2022-05-26,3,S12,1.39,13.97,1.37
2022-05-26,2,S1,0.63,48.42,9.9
2022-05-27,2,S11,1.01,8.45,1.27
2022-05-27,2,S2,0.66,51.47,6.55
2022-05-27,3,S11,1,8.34,1.63
2022-05-27,4,S1,0.63,48.52,8.88
2022-05-27,3,S2,0.64,51.03,6.9
2022-05-27,4,S11,1.02,8.85,1.07
2022-05-27,2,S12,1.4,13.74,1.2
2022-05-27,4,S2,0.65,51.96,6.82
2022-05-27,3,S12,1.39,13.99,1.41
2022-05-27,2,S1,0.64,48.54,9.86
2022-05-27,3,S1,0.62,48.06,10.49
2022-05-27,4,S12,1.4,13.85,1.15
2022-05-28,2,S2,0.66,51.37,6.62
2022-05-28,2,S11,1.01,8.25,1.22
2022-05-28,2,S12,1.39,13.48,1.19
2022-05-28,2,S1,0.64,48.36,10.03
2022-05-28,4,S1,0.63,48.48,8.8
2022-05-28,3,S1,0.62,47.96,10.66
2022-05-28,4,S2,0.65,51.88,6.8
2022-05-28,3,S2,0.64,50.98,6.86
2022-05-28,3,S12,1.39,13.88,1.48
2022-05-29,2,S1,0.64,48.3,10.16
2022-05-29,3,S12,1.4,13.89,1.29
2022-05-29,4,S2,0.65,51.7,6.77
2022-05-29,2,S2,0.66,51.56,6.62
2022-05-29,3,S1,0.63,48.29,10.66
2022-05-29,2,S11,1,8.41,1.24
2022-05-29,4,S1,0.63,48.56,8.84
2022-05-29,3,S11,0.99,8.27,1.64
2022-05-29,3,S2,0.64,51.23,7.01
2022-05-29,2,S12,1.39,13.83,1.21
2022-05-30,4,S2,0.65,51.8,6.8
2022-05-30,3,S2,0.64,51.07,6.99
2022-05-30,3,S1,0.62,48,10.76
2022-05-30,2,S1,0.64,48.34,10.08
2022-05-30,4,S1,0.63,48.6,8.75
2022-05-30,2,S12,1.4,13.61,1.2
2022-05-30,2,S11,1.01,8.29,1.22
2022-05-30,2,S2,0.65,51.3,6.58
2022-05-31,2,S1,0.64,48.28,10
2022-05-31,4,S1,0.63,48.43,8.78
2022-05-31,3,S11,1,8.28,1.73
2022-05-31,4,S2,0.65,51.96,6.76
2022-05-31,2,S11,1.02,8.32,1.25
2022-05-31,2,S2,0.65,51.26,6.53
2022-05-31,2,S12,1.4,13.64,1.2
2022-05-31,3,S1,0.63,48.26,10.59
2022-05-31,3,S2,0.64,51.2,6.89
2022-06-01,4,S11,1,8.79,1.14
2022-06-01,4,S2,0.65,51.74,6.8
2022-06-01,3,S11,1,8.28,1.66
2022-06-01,2,S11,1.01,8.22,1.2
2022-06-01,4,S1,0.63,48.47,8.85
2022-06-01,2,S12,1.35,13.86,1.15
2022-06-01,3,S2,0.65,51.27,6.89
2022-06-01,2,S1,0.64,48.53,10.11
2022-06-01,4,S12,1.4,13.99,1.15
2022-06-01,3,S1,0.63,48.3,10.56
2022-06-01,2,S2,0.66,51.38,6.64
2022-06-01,3,S12,1.39,14.07,1.33
2022-06-02,2,S2,0.64,51.9,6.7
2022-06-02,4,S12,1.4,13.98,1.14
2022-06-02,4,S2,0.65,51.9,6.87
2022-06-02,2,S1,0.65,48.75,10.11
2022-06-02,4,S11,1.01,8.77,1.14
2022-06-02,4,S1,0.63,48.79,8.85
2022-06-02,3,S1,0.64,48.32,10.59
2022-06-02,3,S12,1.39,14.1,1.35
2022-06-02,3,S11,1,8.3,1.6
2022-06-02,3,S2,0.64,51.05,6.94
2022-06-03,3,S2,0.64,51.25,6.91
2022-06-03,3,S11,1,8.32,1.58
2022-06-03,4,S2,0.65,51.79,6.68
2022-06-03,3,S1,0.63,48.39,10.56
2022-06-03,4,S11,1,8.81,1.13
2022-06-03,4,S1,0.63,48.28,8.8
2022-06-03,2,S12,1.38,13.92,1.19
2022-06-03,2,S11,1.01,8.44,1.23
2022-06-03,4,S12,1.4,13.94,1.14
2022-06-03,2,S1,0.63,49.31,10.45
2022-06-03,3,S12,1.39,14.07,1.33
2022-06-03,2,S2,0.66,52.41,6.78
2022-06-04,3,S11,1,8.32,1.58
2022-06-04,2,S11,1,8.49,1.22
2022-06-04,4,S1,0.63,48.77,8.81
2022-06-04,3,S2,0.64,51.2,6.94
2022-06-04,3,S1,0.63,48.38,10.63
2022-06-04,4,S12,1.41,13.95,1.12
2022-06-04,4,S2,0.65,51.79,6.68
2022-06-04,2,S1,0.64,49.2,10.24
2022-06-04,2,S12,1.38,13.95,1.19
2022-06-04,4,S11,1,8.83,1.12
2022-06-04,2,S2,0.65,51.88,6.66
2022-06-04,3,S12,1.4,14.09,1.32
2022-06-05,3,S11,1,8.32,1.59
2022-06-05,3,S2,0.65,51.31,6.9
2022-06-05,4,S2,0.65,52.01,6.75
2022-06-05,4,S11,1,8.77,1.11
2022-06-05,3,S1,0.62,48.45,10.38
2022-06-05,2,S1,0.64,48.84,10.01
2022-06-05,3,S12,1.39,14.08,1.32
2022-06-05,2,S2,0.66,51.55,6.65
2022-06-05,4,S1,0.62,48.47,8.82
2022-06-06,2,S1,0.64,48.58,9.95
2022-06-06,3,S2,0.64,51.34,6.96
2022-06-06,2,S2,0.66,51.64,6.67
2022-06-06,4,S2,0.64,51.84,6.84
2022-06-06,3,S1,0.62,48.25,10.22
2022-06-06,4,S1,0.63,48.88,8.78
2022-06-07,2,S1,0.64,48.74,9.95
2022-06-07,2,S2,0.66,51.61,6.67
2022-06-07,4,S11,1,8.86,1.19
2022-06-07,3,S1,0.63,48.47,10.36
2022-06-07,4,S1,0.63,48.46,8.71
2022-06-07,3,S2,0.65,51.27,6.88
2022-06-07,4,S2,0.65,52.17,6.84
2022-06-08,3,S1,0.63,48.1,10.56
2022-06-08,4,S1,0.62,48.66,8.69
2022-06-08,3,S2,0.65,51.3,6.87
2022-06-08,4,S2,0.65,52.04,6.75
2022-06-08,2,S2,0.67,51.33,6.62
2022-06-08,2,S1,0.64,48.29,9.91
2022-06-09,3,S1,0.63,48.44,10.3
2022-06-09,4,S2,0.65,52.24,6.83
2022-06-09,4,S1,0.63,48.47,8.69
2022-06-09,3,S2,0.64,50.94,6.93
2022-06-09,4,S11,1,8.82,1.14
2022-06-09,2,S1,0.63,48.11,9.4
2022-06-09,2,S2,0.66,51.04,6.65
2022-06-09,3,S12,1.39,13.8,1.45
2022-06-10,4,S2,0.65,52.34,6.82
2022-06-10,2,S1,0.64,48.25,9.86
2022-06-10,2,S2,0.66,51.08,6.63
2022-06-10,4,S11,1,8.87,1.16
2022-06-10,3,S1,0.62,48.25,10.21
2022-06-10,4,S1,0.63,48.84,8.8
2022-06-10,3,S2,0.64,51.05,6.83
2022-06-11,2,S1,0.63,47.84,9.84
2022-06-11,4,S12,1.37,13.93,1.11
2022-06-11,3,S2,0.64,51.14,6.94
2022-06-11,4,S1,0.63,48.9,8.48
2022-06-11,2,S2,0.66,50.86,6.6
2022-06-11,4,S2,0.65,51.14,6.89
2022-06-11,3,S1,0.62,48.18,10.46
2022-06-12,3,S1,0.63,48.54,9.9
2022-06-12,4,S1,0.63,48.56,8.62
2022-06-12,2,S1,0.63,48.25,9.75
2022-06-12,4,S2,0.65,51.35,6.87
2022-06-12,3,S2,0.64,51.17,6.82
2022-06-12,2,S2,0.66,51.25,6.6
2022-06-13,2,S2,0.66,51.39,6.61
2022-06-13,4,S1,0.62,48.59,8.62
2022-06-13,2,S1,0.64,48.47,9.76
2022-06-13,3,S2,0.64,51.22,6.87
2022-06-13,4,S2,0.65,51.44,6.68
2022-06-13,4,S11,1,8.83,1.12
2022-06-13,3,S1,0.63,48.41,10.37
2022-06-14,4,S11,1,8.84,1.14
2022-06-14,3,S1,0.63,48.3,10.25
2022-06-14,3,S2,0.64,51.32,7.02
2022-06-14,2,S2,0.65,51.57,6.59
2022-06-14,4,S1,0.62,48.49,8.67
2022-06-14,4,S2,0.65,51.95,6.69
2022-06-14,2,S1,0.64,48.53,9.73
2022-06-15,4,S2,0.65,52.23,6.73
2022-06-15,2,S2,0.66,51.57,6.64
2022-06-15,3,S1,0.63,48.34,10.42
2022-06-15,2,S1,0.64,48.49,9.9
2022-06-15,4,S1,0.62,48.27,8.68
2022-06-15,4,S11,1,8.85,1.15
2022-06-15,3,S2,0.64,51.25,6.79
2022-06-16,2,S1,0.64,48.55,9.78
2022-06-16,3,S2,0.64,51.37,6.85
2022-06-16,2,S2,0.66,51.75,6.6
2022-06-16,4,S2,0.65,52.46,6.82
2022-06-16,3,S1,0.63,48.2,10.41
2022-06-16,4,S1,0.62,48.49,8.63
2022-06-16,4,S11,1,8.48,1.2
2022-06-17,4,S2,0.65,51.36,6.92
2022-06-17,3,S2,0.65,51.33,7
2022-06-17,2,S1,0.64,48.53,9.8
2022-06-17,4,S11,1,8.49,1.13
2022-06-17,4,S1,0.62,48.6,8.58
2022-06-17,2,S2,0.66,51.44,6.61
2022-06-17,3,S1,0.63,48.2,10.38
2022-06-18,3,S1,0.63,48.35,10.26
2022-06-18,2,S2,0.66,51.46,6.63
2022-06-18,4,S1,0.63,48.75,8.58
2022-06-18,3,S2,0.64,51.23,6.88
2022-06-18,2,S1,0.64,48.6,9.72
2022-06-18,4,S2,0.65,52.35,6.79
2022-06-19,4,S1,0.63,49.14,8.55
2022-06-19,4,S2,0.65,52.14,6.78
2022-06-19,2,S1,0.63,48.34,9.69
2022-06-19,2,S2,0.66,51.46,6.55
2022-06-19,3,S1,0.63,48.41,10.21
2022-06-19,3,S2,0.64,51.27,6.94
2022-06-20,4,S2,0.65,52.05,6.74
2022-06-20,3,S2,0.64,51.04,6.97
2022-06-20,4,S1,0.63,48.56,8.61
2022-06-20,3,S1,0.63,48.41,10.11
2022-06-20,2,S2,0.66,51.59,6.47
2022-06-20,2,S1,0.64,48.57,9.66
2022-06-21,4,S11,1,8.89,1.09
2022-06-21,2,S2,0.66,51.72,6.49
2022-06-21,3,S1,0.62,48.26,10.1
2022-06-21,2,S1,0.64,48.67,9.48
2022-06-21,3,S2,0.64,51.04,6.91
2022-06-21,4,S1,0.63,49.28,8.41
2022-06-21,4,S2,0.65,52.42,6.76
2022-06-22,4,S1,0.63,49.37,8.49
2022-06-22,2,S1,0.64,48.77,9.53
2022-06-22,3,S1,0.62,48.26,10.23
2022-06-22,2,S2,0.65,51.91,6.66
2022-06-22,4,S2,0.65,51.92,6.64
2022-06-22,4,S11,0.99,8.89,1.08
2022-06-22,3,S2,0.64,51.28,7.12
2022-06-23,4,S2,0.66,51.61,7.1
2022-06-23,3,S1,0.63,48.38,10.03
2022-06-23,2,S2,0.66,51.46,6.52
2022-06-23,2,S1,0.64,48.48,9.58
2022-06-23,3,S2,0.64,51.03,6.43
2022-06-23,4,S11,1.01,8.87,1.16
2022-06-24,4,S11,1.01,8.89,1.15
2022-06-24,2,S2,0.66,51.39,6.56
2022-06-24,4,S2,0.65,51.81,6.93
